date,ALPHA,BETA,GAMMA,DELTA
2020-01-01,80.021,76.3074,40.2907,121.8794
2020-01-02,80.821,77.4932,38.9726,122.2362
2020-01-03,80.5171,77.0445,38.4451,118.7978
2020-01-06,78.584,74.8067,38.9824,120.0803
2020-01-07,79.7543,74.3952,39.051,119.3525
2020-01-08,78.2614,73.5517,38.7229,118.6834
2020-01-09,78.5223,73.4445,39.407,115.2267
2020-01-10,79.7459,75.9736,38.6926,113.9239
2020-01-13,80.4657,71.6315,38.9069,112.2911
2020-01-14,79.516,74.1462,38.5752,112.2204
2020-01-15,80.6528,72.764,38.0065,109.0162
2020-01-16,80.2359,75.2088,38.3402,109.1376
2020-01-17,81.162,73.3271,37.6761,109.4203
2020-01-20,79.6855,72.283,39.004,107.0077
2020-01-21,79.3171,73.5931,38.611,105.6897
2020-01-22,81.3522,73.538,40.035,103.9029
2020-01-23,80.3703,71.7544,39.2701,105.8168
2020-01-24,79.9364,71.9949,39.7167,100.6092
2020-01-27,80.0442,68.459,38.8838,99.9307
2020-01-28,79.0291,65.9899,37.9716,96.6762
2020-01-29,76.6986,68.4751,38.0961,95.8547
2020-01-30,76.885,67.8739,38.579,97.5015
2020-01-31,74.8197,67.2943,37.7193,96.2892
2020-02-03,75.7388,66.9051,38.5473,96.5657
2020-02-04,76.5838,67.4928,38.0131,94.9574
2020-02-05,75.769,66.382,38.1182,98.723
2020-02-06,73.25,64.9777,38.395,100.5527
2020-02-07,72.8587,65.1607,38.8238,102.8556
2020-02-10,72.7099,66.6041,37.6025,100.1693
2020-02-11,71.9792,64.7739,38.7297,97.9974
2020-02-12,71.2407,66.0663,39.139,100.1466
2020-02-13,69.4118,65.1204,38.8558,99.7681
2020-02-14,68.4902,64.2586,38.1613,99.2647
2020-02-17,67.7357,66.2304,37.03,99.9395
2020-02-18,68.3599,65.6951,36.1481,97.4717
2020-02-19,68.1122,63.7976,36.519,98.9999
2020-02-20,67.3392,65.3031,36.31,99.0461
2020-02-21,68.4695,66.7732,35.5922,100.01
2020-02-24,68.043,66.6979,35.2703,98.6875
2020-02-25,67.6272,65.3217,36.2919,99.7157
2020-02-26,66.9154,66.8831,36.091,98.3296
2020-02-27,66.3639,67.7583,35.7276,100.2345
2020-02-28,66.023,65.2327,36.6214,102.5352
2020-03-02,65.6415,66.6554,36.942,104.4328
2020-03-03,66.8173,66.9782,36.9862,105.5276
2020-03-04,66.701,64.7513,36.5984,106.8845
2020-03-05,68.1135,64.725,35.6041,101.264
2020-03-06,69.3375,64.495,34.8758,102.9793
2020-03-09,68.6828,64.2373,34.5893,102.4267
2020-03-10,69.3305,65.5491,34.4666,102.6316
2020-03-11,70.6407,65.6206,34.7022,102.0612
2020-03-12,70.0217,66.2098,35.0626,99.2706
2020-03-13,70.8503,64.8139,35.2176,98.2168
2020-03-16,71.1988,65.9247,35.3718,99.5288
2020-03-17,71.8474,65.5536,34.75,102.4008
2020-03-18,72.8218,65.0738,33.4414,101.1431
2020-03-19,73.1268,66.4586,33.1425,99.3409
2020-03-20,73.7909,63.7727,32.5912,102.2778
2020-03-23,74.9464,66.2694,32.2235,100.4983
2020-03-24,74.4007,64.7788,32.0775,104.7644
2020-03-25,74.5104,67.1232,31.3799,104.881
2020-03-26,74.6925,66.3029,30.7712,103.0545
2020-03-27,74.1662,63.3052,30.728,105.114
2020-03-30,74.3685,62.7644,30.8044,108.7457
2020-03-31,73.5858,64.2296,30.455,105.6802
2020-04-01,73.9149,63.917,30.7417,109.038
2020-04-02,74.231,64.7212,30.6327,108.4369
2020-04-03,74.6465,65.0195,30.0875,111.7199
2020-04-06,74.9416,63.7991,30.1216,110.8841
2020-04-07,73.8035,63.8946,31.1722,107.4517
2020-04-08,73.0794,64.4929,30.8081,108.5468
2020-04-09,70.9655,64.8046,31.4742,110.5881
2020-04-10,70.3046,61.6679,32.2774,115.334
2020-04-13,71.6659,63.3173,33.173,119.391
2020-04-14,72.5194,62.5999,32.6985,121.0748
2020-04-15,73.5012,64.6275,33.92,120.5126
2020-04-16,72.3062,63.9913,34.0047,119.2762
2020-04-17,72.1379,63.0864,33.8633,118.5867
2020-04-20,72.2768,63.9293,33.7367,116.6439
2020-04-21,74.5162,62.9089,34.1176,116.0167
2020-04-22,73.4118,63.2159,34.1627,110.2713
2020-04-23,73.4155,62.2793,34.0677,110.6776
2020-04-24,73.6661,63.9957,34.8779,110.6246
2020-04-27,72.6123,65.1515,34.4409,116.4614
2020-04-28,72.3099,65.6864,33.8138,118.254
2020-04-29,71.1933,64.094,34.3137,117.1354
2020-04-30,69.4651,66.5895,34.7649,118.4777
2020-05-01,69.6062,64.9637,35.4704,115.6201
2020-05-04,70.8031,65.3571,34.8064,114.2462
2020-05-05,70.9318,66.7338,35.5047,110.0686
2020-05-06,69.983,67.9667,35.8284,113.2875
2020-05-07,71.5711,66.1727,36.9982,114.6514
2020-05-08,71.5067,65.94,36.1906,111.9984
2020-05-11,72.971,66.2204,36.3476,111.8741
2020-05-12,73.9134,65.792,36.1809,114.031
2020-05-13,73.8093,65.6256,35.1743,115.1772
2020-05-14,73.3417,66.3588,34.7385,116.0728
2020-05-15,73.2749,65.4413,35.4646,114.1098
2020-05-18,71.887,65.3333,35.1805,112.6759
