ticker_a,ticker_b,lookback,entry_z,exit_z,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,entries,exits,turnover,win_rate,average_trade_return,cointegration_p_value
ALPHA,BETA,60,1.5,0.25,3.6150871216103617,0.8436223379585095,0.27565780505519105,3.0603970665354567,-0.1174999665915678,29,29,58.0,0.9655172413793104,0.055605326150847546,1.2933190591754426e-16
ALPHA,BETA,60,1.5,0.5,3.2845507248833714,0.7896253196067353,0.26229978292835454,3.010392577497543,-0.1144505960833101,31,31,62.0,0.967741935483871,0.0495448283585391,1.2933190591754426e-16
ALPHA,BETA,90,1.5,0.5,2.6885229604894985,0.6855475027640918,0.2469909085834445,2.7755981250317294,-0.11445059608330965,26,26,52.0,0.9615384615384616,0.05301332646263497,1.2933190591754426e-16
ALPHA,BETA,40,1.5,0.5,2.761854244294447,0.6988724976868188,0.2739564205195304,2.5510352937210903,-0.11262970632624925,32,32,64.0,0.96875,0.0436696747360739,1.2933190591754426e-16
ALPHA,BETA,40,2.0,0.25,2.2701482615533064,0.6063011757168979,0.23962412336307004,2.530217605838673,-0.09846310231738598,18,18,36.0,0.9444444444444444,0.07002479756003172,1.2933190591754426e-16
ALPHA,BETA,40,2.5,0.5,1.0699157541644162,0.33776881556176774,0.1356074144975242,2.4907842746897475,-0.05074541001367394,9,9,18.0,1.0,0.08535045657170892,1.2933190591754426e-16
ALPHA,BETA,90,1.5,0.25,2.5172112444826684,0.6537862667372001,0.2664966980246991,2.453262166410057,-0.09368418935069223,25,24,49.0,0.92,0.05318368552347006,1.2933190591754426e-16
ALPHA,BETA,40,2.0,0.5,1.8972449505695654,0.5303616918344636,0.2170893005795159,2.4430577205724684,-0.10550635044020129,19,19,38.0,0.9473684210526315,0.05892932164225456,1.2933190591754426e-16
ALPHA,BETA,40,2.5,0.25,1.3169379757845823,0.39947699295075734,0.17392242797086713,2.2968687685159943,-0.0633741690901436,10,10,20.0,0.9,0.09013259931901749,1.2933190591754426e-16
ALPHA,BETA,60,2.5,0.5,0.8645525861334986,0.28300944806467787,0.12384723154470395,2.2851495712483705,-0.05074541001367383,7,7,14.0,1.0,0.09424888752125796,1.2933190591754426e-16
ALPHA,BETA,40,1.5,0.25,2.6185672344203303,0.6726869112107459,0.2999565537739649,2.242614481154679,-0.14479359923657542,29,29,58.0,0.9310344827586207,0.046880578748409146,1.2933190591754426e-16
ALPHA,BETA,60,2.5,0.25,1.0394620727733725,0.32986101039016225,0.17191131604666887,1.9187859064531545,-0.09685415144064569,9,9,18.0,0.8888888888888888,0.08604422502043561,1.2933190591754426e-16
ALPHA,BETA,90,2.0,0.5,1.1972493969426323,0.37009834454216484,0.19372499789579806,1.9104315321311063,-0.10640613450669745,13,13,26.0,0.9230769230769231,0.06419558043841364,1.2933190591754426e-16
ALPHA,BETA,60,2.0,0.25,1.3127343952339734,0.39846082085491297,0.20884963414950283,1.907883738832307,-0.13981052661751114,13,13,26.0,0.9230769230769231,0.06936159725802385,1.2933190591754426e-16
ALPHA,BETA,90,2.0,0.25,1.1757666351050529,0.36472430153361324,0.21127391914708105,1.7263101049387253,-0.14616607314785823,14,14,28.0,0.9285714285714286,0.06009876594882709,1.2933190591754426e-16
ALPHA,BETA,60,2.0,0.5,1.052357238804833,0.33321804445738623,0.19653833099810794,1.695435403186537,-0.10640613450669734,13,13,26.0,0.9230769230769231,0.058391060562455216,1.2933190591754426e-16
ALPHA,BETA,90,2.5,0.5,0.541335220102892,0.1889369953916613,0.12759171627189064,1.4807935884258143,-0.08282352419242167,6,6,12.0,0.8333333333333334,0.07728798286784173,1.2933190591754426e-16
ALPHA,BETA,90,2.5,0.25,0.5246586407258931,0.18377468336756086,0.1551701814668395,1.184342775334282,-0.11202792598995703,6,6,12.0,0.8333333333333334,0.0780711729270603,1.2933190591754426e-16
ALPHA,BETA,90,1.5,0.0,0.21868985568612143,0.08232397413445258,0.4068160097293598,0.20236168726304501,-0.2397968615068956,25,24,49.0,0.6,0.010665097525880003,1.2933190591754426e-16
ALPHA,BETA,60,2.5,0.0,0.08769948198007604,0.034197702595517576,0.3492608377127112,0.09791450658904768,-0.21949507211024766,18,17,35.0,0.4444444444444444,0.008007525110849031,1.2933190591754426e-16
ALPHA,BETA,90,2.5,0.0,0.08769948198007604,0.034197702595517576,0.3492608377127112,0.09791450658904768,-0.21949507211024766,18,17,35.0,0.4444444444444444,0.008007525110849031,1.2933190591754426e-16
ALPHA,BETA,60,1.5,0.0,-0.11999725108781734,-0.049846852134151076,0.42291340635258073,-0.11786538659073392,-0.291214905938989,27,27,54.0,0.5185185185185185,-0.0007153462689054343,1.2933190591754426e-16
ALPHA,BETA,60,2.0,0.0,-0.12868775026688561,-0.053611339660423085,0.4103694880030282,-0.13064163206019713,-0.36382709710506833,25,24,49.0,0.52,-0.0023024736974709458,1.2933190591754426e-16
ALPHA,BETA,90,2.0,0.0,-0.12868775026688561,-0.053611339660423085,0.4103694880030282,-0.13064163206019713,-0.36382709710506833,25,24,49.0,0.52,-0.0023024736974709458,1.2933190591754426e-16
ALPHA,BETA,40,2.0,0.0,-0.2599508558474247,-0.11344797876093027,0.4289529469683651,-0.26447651091507,-0.41693328774373517,28,28,56.0,0.4642857142857143,-0.006397717317968772,1.2933190591754426e-16
ALPHA,BETA,40,2.5,0.0,-0.2771067203807861,-0.12172671055522366,0.412380145830751,-0.29518082232111803,-0.405735615949418,26,25,51.0,0.46153846153846156,-0.009084933884382453,1.2933190591754426e-16
ALPHA,BETA,40,1.5,0.0,-0.36099989323622506,-0.1640113671088761,0.42242214599896394,-0.3882641302363877,-0.5197504153851238,29,28,57.0,0.41379310344827586,-0.011339620740128876,1.2933190591754426e-16
BETA,DELTA,40,1.5,0.5,2.7068116294494926,0.6888854987950865,0.3233977144856552,2.1301495586965355,-0.22731738202243312,40,40,80.0,0.825,0.035219567901508965,7.55780397109993e-08
BETA,DELTA,40,2.0,0.5,1.5960984076314855,0.46463180350125,0.24887582578413975,1.866922197193408,-0.17718387092068277,24,24,48.0,0.875,0.04240646956013797,7.55780397109993e-08
BETA,DELTA,60,1.5,0.5,1.7866390828934082,0.5067190856907857,0.2802948243548225,1.8078075000390836,-0.17718387092068266,29,29,58.0,0.7931034482758621,0.037984478749510796,7.55780397109993e-08
BETA,DELTA,40,1.5,0.25,1.8500237940978845,0.5203353525795904,0.3510385686479623,1.4822740264230247,-0.2514186781287979,36,35,71.0,0.75,0.03175136584802928,7.55780397109993e-08
