entry_date,exit_date,side,holding_days,trade_return,entry_equity,exit_equity,status
2022-06-07,2022-06-28,long_spread,15,0.08004126743025908,10885.024506134103,10789.470185172911,closed
2022-07-19,2022-07-21,short_spread,2,0.06873689933128624,11127.378909221417,11519.422117707334,closed
2022-08-04,2022-08-16,long_spread,8,0.06041302279578198,11464.21160221122,12202.96919396632,closed
2022-08-30,2022-09-12,short_spread,9,0.07572371122121635,12404.117255282554,13113.72360356461,closed
2022-09-28,2022-10-10,long_spread,8,0.0697200731695573,13099.387133658116,14013.800824703749,closed
2022-10-31,2022-11-03,long_spread,3,0.0603126523372719,14684.756911758786,14843.955845256016,closed
2022-11-08,2022-11-11,long_spread,3,0.057075975176358096,15179.21400306648,15675.291498225371,closed
2022-11-17,2022-11-25,long_spread,6,0.05500184373682693,16340.216546726337,16520.706424555865,closed
2022-12-09,2022-12-27,short_spread,12,0.03362920021451332,16141.611545416967,17058.983650201462,closed
2023-01-02,2023-01-19,short_spread,13,0.0599219437640357,16828.873506436412,18062.872064959993,closed
2023-03-09,2023-03-15,long_spread,4,0.06299789923444488,18551.990449735877,19181.3416829608,closed
2023-03-28,2023-04-25,short_spread,20,-0.015425093492658193,19825.260022731974,18866.333793363978,closed
2023-04-26,2023-05-08,short_spread,8,0.0823448325080045,19508.952011327543,20399.19039284382,closed
2023-05-16,2023-05-18,short_spread,2,0.08237073153591212,21522.555517674115,22057.11669204636,closed
2023-05-25,2023-06-09,long_spread,11,0.06705971811161326,22327.970552782233,23512.41484601994,closed
