entry_date,exit_date,side,holding_days,trade_return,entry_equity,exit_equity,status
2022-06-08,2022-07-06,long_spread,20,-0.15885992135561178,11639.437556751192,9630.765859570109,closed
2022-07-07,2022-07-21,long_spread,10,0.04057332966693372,9829.813285103894,10012.638909965266,closed
2022-08-22,2022-09-15,long_spread,18,0.00620433856161573,10105.99443973527,10065.834350279662,closed
2022-10-18,2022-10-20,short_spread,2,0.07339339839963999,10478.930772011943,10795.027132923411,closed
2022-11-03,2022-11-17,long_spread,10,0.04519054930913824,10756.627811725108,11272.863586423482,closed
2022-11-24,2022-11-29,long_spread,3,0.04829433616447276,11528.917075970274,11806.808796035464,closed
2022-12-20,2022-12-27,long_spread,5,0.03037161208180761,11818.3326914774,12154.62191877765,closed
2023-01-05,2023-01-12,long_spread,5,0.06308035346966023,12608.51302818646,12909.891300421452,closed
2023-01-26,2023-01-31,long_spread,3,0.046876800872589275,13079.583590247466,13503.091190462315,closed
2023-02-02,2023-02-06,long_spread,2,0.053750451116789666,13892.35208792388,14216.281464004624,closed
2023-02-20,2023-03-09,long_spread,13,0.006854918693781853,13802.90699020987,14301.05077490004,closed
2023-03-28,2023-04-03,long_spread,4,0.049702033712119675,14623.587292454768,14998.541406694469,closed
2023-04-17,2023-04-21,long_spread,4,0.04064572371983011,15966.53340131805,15594.33894892735,closed
2023-04-25,2023-04-27,long_spread,2,0.05122312814954211,15330.004193133394,16378.605257568166,closed
2023-05-16,2023-05-19,long_spread,3,0.04819534492279076,16781.35193481824,17152.76674873152,closed
2023-05-25,2023-06-08,short_spread,10,0.040878011032885464,17592.159274122467,17838.11892963466,closed
2023-06-09,2023-06-13,long_spread,3,0.04523122830130544,18261.21870060118,18644.958959406802,open_at_end
