,price_a,price_b,spread,zscore,position,hedge_ratio,raw_position,tradable_position,return_a,return_b,gross_strategy_return,transaction_cost,strategy_return,equity
2024-01-23,108.20994567871094,118.0387191772461,0.06889731399165466,,0,0.9673367602448374,0,0.0,-0.0016639059253675814,-0.004729595377782503,0.0,0.0,0.0,10000.0
2024-01-24,105.14398193359376,114.00001525878906,0.07383167493069376,,0,0.9673367602448374,0,0.0,-0.02833347457931834,-0.034215077447532605,0.0,0.0,0.0,10000.0
2024-01-25,106.73867797851562,115.9071807861328,0.0728353898722025,,0,0.9673367602448374,0,0.0,0.015166783829140495,0.01672951993045202,-0.0,0.0,-0.0,10000.0
2024-01-26,106.3210220336914,115.1405792236328,0.07533397713384726,,0,0.9673367602448374,0,0.0,-0.00391288287183289,-0.006613926396109138,0.0,0.0,0.0,10000.0
2024-01-29,107.6878890991211,117.5619125366211,0.0679765417807916,,0,0.9673367602448374,0,0.0,0.012856037679891186,0.021029365401102007,-0.0,0.0,-0.0,10000.0
2024-01-30,107.71636199951172,116.2998275756836,0.0786818902174602,,0,0.9673367602448374,0,0.0,0.00026440206627520446,-0.010735491909799943,0.0,0.0,0.0,10000.0
2024-01-31,107.4031219482422,115.94457244873048,0.07872904198656983,,0,0.9673367602448374,0,0.0,-0.002908008082104896,-0.0030546487845988235,0.0,0.0,0.0,10000.0
2024-02-01,108.67506408691406,117.08513641357422,0.08103282288338587,,0,0.9673367602448374,0,0.0,0.011842692424572254,0.009837148395610118,0.0,0.0,0.0,10000.0
2024-02-02,106.41593933105467,115.32754516601562,0.07465682827096654,,0,0.9673367602448374,0,0.0,-0.020787885195564515,-0.015011224322704297,-0.0,0.0,-0.0,10000.0
2024-02-05,105.97932434082033,113.60735321044922,0.0850826787811938,2.048110979388301,-1,0.9673367602448374,-1,0.0,-0.004102909704871038,-0.014915707718309301,0.0,0.0,0.0,10000.0
2024-02-06,108.20994567871094,114.542236328125,0.09798422887203007,2.1852264524074188,-1,0.9673367602448374,-1,-1.0,0.021047702953050695,0.008229072249786418,-0.013087418863121607,0.0019673367602448372,-0.015054755623366445,9849.452443766335
2024-02-07,107.55500030517578,114.67200469970705,0.09081798995951473,1.9945523222643684,-1,0.9673367602448374,-1,-1.0,-0.006052543224444151,0.0011329303123635004,0.007148468362389032,0.0,0.007148468362389032,9919.860942947455
2024-02-08,106.71969604492188,114.55917358398438,0.08397365266721923,1.8251311645129555,-1,0.9673367602448374,-1,-1.0,-0.007766298711206598,-0.0009839464829985989,0.006814491108088432,0.0,0.006814491108088432,9987.459747136645
2024-02-09,106.13116455078124,114.90707397460938,0.07551043271826785,1.6428070726453103,-1,0.9673367602448374,-1,-1.0,-0.005514741101707243,0.0030368619093603666,0.008452409262418852,0.0,0.008452409262418852,10071.877844411376
2024-02-12,106.81461334228516,116.26114654541016,0.07059692909688486,1.5266059006747257,-1,0.9673367602448374,-1,-1.0,0.006439661662026808,0.01178406623686179,0.004959498794049649,0.0,0.004959498794049649,10121.829310434548
2024-02-13,105.68505096435548,112.63150787353516,0.09064706926144162,1.7806281784500069,-1,0.9673367602448374,-1,-1.0,-0.010574979795227257,-0.031219704774348767,-0.01962498827699156,0.0,-0.01962498827699156,9923.188528875562
2024-02-14,106.36848449707033,113.28974151611328,0.09145615927226203,1.7398677841159107,-1,0.9673367602448374,-1,-1.0,0.006466700129097225,0.00584413415930829,-0.0008134543249957576,0.0,-0.0008134543249957576,9915.116468249
2024-02-15,107.86822509765624,116.84415435791016,0.07557380341360886,1.4653322448160935,-1,0.9673367602448374,-1,-1.0,0.014099482639777783,0.0313745339536442,0.016250257389132047,0.0,0.016250257389132047,10076.239662901267
2024-02-16,108.21944427490234,115.49008178710938,0.09010015976255392,1.632824627659132,-1,0.9673367602448374,-1,-1.0,0.003256002190896723,-0.01158870615514973,-0.01446618365844867,0.0,-0.01446618365844867,9930.474929351192
2024-02-20,110.71585845947266,113.92916107177734,0.12606950689007235,2.077587924432797,-1,0.9673367602448374,-1,-1.0,0.023068074330790722,-0.013515625681254417,-0.036142235889977295,0.0,-0.036142235889977295,9571.565361955076
2024-02-21,111.88340759277344,114.46514129638672,0.13201957804038233,2.0907404560994887,-1,0.9673367602448374,-1,-1.0,0.01054545527213846,0.004704504268856047,-0.005994615354145244,0.0,-0.005994615354145244,9514.187509273095
2024-02-22,112.97498321533205,112.53748321533205,0.15815789093204646,2.3578401637847612,-1,0.9673367602448374,-1,-1.0,0.00975636732956553,-0.016840568746281925,-0.02604686854127435,0.0,-0.02604686854127435,9266.372717942024
2024-02-23,113.39263916015624,111.86045837402344,0.16768503082404695,2.383606494341148,-1,0.9673367602448374,-1,-1.0,0.003696888753044858,-0.006015994155593174,-0.009516381049168236,0.0,-0.009516381049168236,9178.190384214471
2024-02-26,112.66175842285156,110.42176055908205,0.1737407352775504,2.3625859988034152,-1,0.9673367602448374,-1,-1.0,-0.006445574798487397,-0.012861540492985268,-0.0059958661137547616,0.0,-0.0059958661137547616,9123.159183504169
2024-02-27,113.33568572998048,110.98595428466795,0.17477481053580046,2.2835846010535454,-1,0.9673367602448374,-1,-1.0,0.005981863913391727,0.005109443308359829,-0.0010393115768282668,0.0,-0.0010393115768282668,9113.677378547507
