,price_a,price_b,spread,zscore,position,hedge_ratio,raw_position,tradable_position,return_a,return_b,gross_strategy_return,transaction_cost,strategy_return,equity
2024-01-23,352.9225158691406,147.38058471679688,1.6732465780083414,,0,0.8397730071870813,0,0.0,0.007216347322510863,0.006566781172566483,0.0,0.0,0.0,10000.0
2024-01-24,352.0065002441406,149.03599548339844,1.6612677566644578,,0,0.8397730071870813,0,0.0,-0.0025955148334588785,0.011232217389980814,-0.0,0.0,-0.0,10000.0
2024-01-25,354.9073181152344,152.2972412109375,1.6512968256164777,,0,0.8397730071870813,0,0.0,0.008240807681340723,0.021882268890553558,-0.0,0.0,-0.0,10000.0
2024-01-26,354.0771789550781,152.4459228515625,1.6481356184607217,,0,0.8397730071870813,0,0.0,-0.0023390308336406207,0.00097625957924663,-0.0,0.0,-0.0,10000.0
2024-01-29,356.25274658203125,153.4867401123047,1.6485471245821453,,0,0.8397730071870813,0,0.0,0.006144331677555348,0.006827452261584099,0.0,0.0,0.0,10000.0
2024-01-30,354.2966003417969,151.71240234375,1.6528055947353026,,0,0.8397730071870813,0,0.0,-0.005490894481522068,-0.011560202316215906,0.0,0.0,0.0,10000.0
2024-01-31,347.2164001464844,140.5607147216797,1.6967336376514126,,0,0.8397730071870813,0,0.0,-0.01998382199683002,-0.07350544484031585,0.0,0.0,0.0,10000.0
2024-02-01,353.9244689941406,141.4627685546875,1.7104968899807211,,0,0.8397730071870813,0,0.0,0.019319562223518938,0.006417538746825047,0.0,0.0,0.0,10000.0
2024-02-02,355.8710632324219,142.28549194335938,1.7111120178134298,,0,0.8397730071870813,0,0.0,0.005500027290606724,0.005815829826303798,0.0,0.0,0.0,10000.0
2024-02-05,353.38055419921875,143.66336059570312,1.6959959712661625,1.4675580191133284,0,0.8397730071870813,0,0.0,-0.006998346565695757,0.00968383096213521,-0.0,0.0,-0.0,10000.0
