,price_a,price_b,spread,zscore,position,hedge_ratio,raw_position,tradable_position,return_a,return_b,gross_strategy_return,transaction_cost,strategy_return,equity
2024-01-23,374.0632629394531,48.02150344848633,0.2792705145541925,,0,1.4580749876650383,0,0.0,0.001782436935944487,-0.0003062957150522516,0.0,0.0,0.0,10000.0
2024-01-24,375.6644287109375,49.35517120361328,0.2435998549011611,,0,1.4580749876650383,0,0.0,0.004280467851619951,0.027772303225733097,-0.0,0.0,-0.0,10000.0
2024-01-25,377.5164184570313,49.428707122802734,0.24634682931110685,,0,1.4580749876650383,0,0.0,0.004929904469392454,0.0014899334233100525,0.0,0.0,0.0,10000.0
2024-01-26,377.53570556640625,49.37968063354492,0.24784484530556927,,0,1.4580749876650383,0,0.0,5.1089458450004344e-05,-0.0009918626666890473,0.0,0.0,0.0,10000.0
2024-01-29,379.1851501464844,49.74251174926758,0.24152985755053802,,0,1.4580749876650383,0,0.0,0.0043689763796075365,0.007347781740738357,-0.0,0.0,-0.0,10000.0
2024-01-30,379.6095275878906,50.394630432128906,0.2236574313849955,,0,1.4580749876650383,0,0.0,0.0011191826505925206,0.013109886492029155,-0.0,0.0,-0.0,10000.0
2024-01-31,373.1275939941406,49.570899963378906,0.2304647447694137,,0,1.4580749876650383,0,0.0,-0.017075265826275277,-0.016345599951554268,0.0,0.0,0.0,10000.0
2024-02-01,372.3462829589844,50.218116760253906,0.20945461556267642,,0,1.4580749876650383,0,0.0,-0.0020939513660533926,0.013056385850431118,-0.0,0.0,-0.0,10000.0
2024-02-02,376.8508911132813,50.72805404663086,0.20674864155473838,,0,1.4580749876650383,0,0.0,0.012097900154929508,0.010154448618840961,-0.0,0.0,-0.0,10000.0
2024-02-05,376.2528991699219,50.49760055541992,0.21179957780968284,-1.8943282561232455,0,1.4580749876650383,0,0.0,-0.0015868131334195734,-0.004542919998450912,0.0,0.0,0.0,10000.0
2024-02-06,374.3043212890625,50.38972854614258,0.20972525963682465,-1.8842963362094949,0,1.4580749876650383,0,0.0,-0.00517890462813253,-0.002136180889603989,-0.0,0.0,-0.0,10000.0
2024-02-07,377.4971618652344,51.12030029296875,0.1972311395750026,-2.078979777806893,0,1.4580749876650383,0,0.0,0.008530066030699501,0.014498425927362835,-0.0,0.0,-0.0,10000.0
2024-02-08,382.1624755859375,51.41448593139648,0.20114709954823784,-1.9309421272007183,0,1.4580749876650383,0,0.0,0.012358539856701212,0.005754771328450037,0.0,0.0,0.0,10000.0
2024-02-09,384.204833984375,51.62532424926758,0.20051009969807776,-1.8862114144171185,0,1.4580749876650383,0,0.0,0.005344214905731226,0.004100757093096874,-0.0,0.0,-0.0,10000.0
2024-02-12,384.6210021972656,51.49784469604492,0.2051976164971423,-1.736678470982268,0,1.4580749876650383,0,0.0,0.0010831935886250754,-0.002469322083230585,0.0,0.0,0.0,10000.0
2024-02-13,377.3809814453125,50.54172897338867,0.21351968049297554,-1.525480370273549,0,1.4580749876650383,0,0.0,-0.01882377902036625,-0.018566130840999673,0.0,0.0,0.0,10000.0
