ticker_a,ticker_b,period,lookback,entry_z,exit_z,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,entries,exits,turnover,win_rate,average_trade_return
AMP,APH,in_sample,90,2.5,0.25,1.2892145203161895,0.14687152710532936,0.14634186390785894,1.0036193552776116,-0.13676043536683158,23,23,46.0,0.7391304347826086,0.04094474393626409
AMP,APH,out_of_sample,90,2.5,0.25,-0.18654813127992442,-0.07658683315526194,0.331132396515489,-0.2312876479655458,-0.6531238896163631,19,19,38.0,0.42105263157894735,0.0010584671946816174
ABT,AWK,in_sample,90,1.5,0.25,1.8173402179934768,0.1869480608060896,0.1670315592718669,1.1192379549172853,-0.18188342490730525,48,47,95.0,0.75,0.024930422312733347
ABT,AWK,out_of_sample,90,1.5,0.25,-0.3577186245983497,-0.15705535726978592,0.2166289703660555,-0.7249970168089558,-0.3880752055466046,25,24,49.0,0.44,-0.013818016811959715
ATO,MMM,in_sample,90,1.5,0.25,1.0841114788722024,0.12919666084622716,0.25521008176032994,0.5062365089775602,-0.39045941623414304,50,49,99.0,0.7,0.018618137235211142
ATO,MMM,out_of_sample,90,1.5,0.25,-0.25526335243513154,-0.10750781726470726,0.2012776114087553,-0.53412705224517,-0.4577711029076962,26,26,52.0,0.5384615384615384,-0.007716474096788175
ACN,GOOGL,in_sample,40,2.0,0.25,1.253380476006884,0.14388147008037855,0.16221025831482766,0.8870059857812724,-0.17103710906378788,49,49,98.0,0.7551020408163265,0.019269161022178165
ACN,GOOGL,out_of_sample,40,2.0,0.25,-0.3015803754817067,-0.129351634213014,0.32152774601258227,-0.40230317855042,-0.6877529486744836,25,25,50.0,0.56,-0.00484302716847314
ACN,GOOG,in_sample,90,2.0,0.5,0.9341998973497081,0.11533503837058312,0.14117529920335067,0.8169633003890651,-0.15932666353194114,31,31,62.0,0.8064516129032258,0.024279012832748907
ACN,GOOG,out_of_sample,90,2.0,0.5,-0.6707862215941215,-0.3486875689834106,0.34335791914772085,-1.015522140421048,-0.7550765951472629,21,21,42.0,0.38095238095238093,-0.04273430553517043
