entry_date,exit_date,side,holding_days,trade_return,entry_equity,exit_equity,status
2024-02-27,2024-03-19,short_spread,15,0.06755823409924822,10051.917371529957,10655.94169276552,closed
2024-03-25,2024-04-23,long_spread,20,-0.09076340127754035,10556.703727898515,9670.947039383744,closed
2024-04-24,2024-05-22,long_spread,20,-0.14024010017380262,9492.806713424152,8299.395311058095,closed
2024-05-23,2024-06-24,long_spread,20,-0.007494388991790335,8367.355646034788,8222.04184258264,closed
2024-06-25,2024-07-17,long_spread,15,0.03430154931727647,8022.908447759703,8488.425056763555,closed
2024-09-04,2024-10-02,short_spread,20,0.014123751450092259,8384.46562028863,8592.476119722365,closed
2024-10-03,2024-10-31,short_spread,20,0.06235424890825869,8452.979578072709,9111.459600011196,closed
2024-12-17,2025-01-17,long_spread,20,-0.002855472402630288,9140.978086104475,9068.726927481152,closed
2025-01-21,2025-01-28,long_spread,5,0.07114409040353808,9070.367442295046,9696.041860452595,closed
2025-06-23,2025-07-22,long_spread,20,-0.11373856625287337,10088.898940343133,8577.418372069775,closed
2025-07-23,2025-08-20,long_spread,20,-0.14970265110652625,8556.635693193479,7279.937982432621,closed
2025-08-21,2025-09-19,long_spread,20,-0.23658008398787178,7223.15715771619,5547.424829325395,closed
2025-09-22,2025-10-20,long_spread,20,-0.004800795064521801,5587.0047626661135,5510.635774049814,closed
2025-10-21,2025-11-18,long_spread,20,-0.0969406907007958,5792.310060083911,4967.275432604888,closed
2025-11-19,2025-12-18,long_spread,20,0.08795482388447451,4862.942964111107,5394.228820039388,closed
2026-02-04,2026-03-05,long_spread,20,-0.045748109826615924,5492.0028976729,5137.982902377682,closed
2026-03-06,2026-04-06,long_spread,20,-0.04939398211966628,5189.964289735291,4875.211652105359,closed
2026-04-07,2026-05-05,long_spread,20,-0.26646605725234473,4739.570802762349,3569.5539515208807,closed
2026-05-06,2026-06-04,long_spread,20,0.04896330165000595,3389.6560190491077,3737.4423791203517,closed
2026-06-05,2026-07-07,long_spread,20,-0.23541716046315508,3747.6528707279163,2852.3270003597067,closed
2026-07-08,2026-07-27,long_spread,13,0.15632104366866129,2780.0916615954125,3292.137784058785,closed
